Description,Date,Location,Value
Total number of hospitalized cases in CTE,2014-09-16,Kindia,
Total number of exits from CTE,2014-09-16,Kindia,
Total number of admissions to CTE,2014-09-16,Kindia,
New contacts registered so far,2014-09-16,Kindia,
Total contacts registered from start date,2014-09-16,Kindia,
Number of contacts to follow today,2014-09-16,Kindia,
Number of contacts followed today,2014-09-16,Kindia,
Number of contacts out of the track 21 days,2014-09-16,Kindia,
Number of contacts lost to follow up,2014-09-16,Kindia,
Number of samples collected today,2014-09-16,Kindia,
Number of samples under test,2014-09-16,Kindia,
Total samples tested,2014-09-16,Kindia,
New cases of suspects,2014-09-16,Kissidougou,
New cases of probables,2014-09-16,Kissidougou,
New cases of confirmed,2014-09-16,Kissidougou,
Total new cases registered so far,2014-09-16,Kissidougou,0
Total cases of suspects,2014-09-16,Kissidougou,0
Total cases of probables,2014-09-16,Kissidougou,5
Total cases of confirmed,2014-09-16,Kissidougou,3
Cumulative (confirmed + probable + suspects),2014-09-16,Kissidougou,8
Total suspected non-class cases,2014-09-16,Kissidougou,7
New deaths registered,2014-09-16,Kissidougou,
Total deaths of suspects,2014-09-16,Kissidougou,0
Total deaths of probables,2014-09-16,Kissidougou,5
Total deaths of confirmed,2014-09-16,Kissidougou,2
Total deaths (confirmed + probables + suspects),2014-09-16,Kissidougou,7
Fatality rate for confirmed and probables,2014-09-16,Kissidougou,88%
New cases of confirmed among health workers,2014-09-16,Kissidougou,
Total case of confirmed among health workers,2014-09-16,Kissidougou,0
New deaths registered among health workers,2014-09-16,Kissidougou,0
Total deaths registered among health workers,2014-09-16,Kissidougou,0
New admits to CTE so far,2014-09-16,Kissidougou,
Total number of hospitalized cases in CTE,2014-09-16,Kissidougou,0
Total number of exits from CTE,2014-09-16,Kissidougou,0
Total number of admissions to CTE,2014-09-16,Kissidougou,0
New contacts registered so far,2014-09-16,Kissidougou,
Total contacts registered from start date,2014-09-16,Kissidougou,159
Number of contacts to follow today,2014-09-16,Kissidougou,0
Number of contacts followed today,2014-09-16,Kissidougou,0
Number of contacts out of the track 21 days,2014-09-16,Kissidougou,159
Number of contacts lost to follow up,2014-09-16,Kissidougou,0
Number of samples collected today,2014-09-16,Kissidougou,
Number of samples under test,2014-09-16,Kissidougou,
Total samples tested,2014-09-16,Kissidougou,
New cases of suspects,2014-09-16,Kouroussa,
New cases of probables,2014-09-16,Kouroussa,
New cases of confirmed,2014-09-16,Kouroussa,
Total new cases registered so far,2014-09-16,Kouroussa,0
Total cases of suspects,2014-09-16,Kouroussa,0
Total cases of probables,2014-09-16,Kouroussa,2
Total cases of confirmed,2014-09-16,Kouroussa,2
Cumulative (confirmed + probable + suspects),2014-09-16,Kouroussa,4
Total suspected non-class cases,2014-09-16,Kouroussa,1
New deaths registered,2014-09-16,Kouroussa,
Total deaths of suspects,2014-09-16,Kouroussa,0
Total deaths of probables,2014-09-16,Kouroussa,2
Total deaths of confirmed,2014-09-16,Kouroussa,2
Total deaths (confirmed + probables + suspects),2014-09-16,Kouroussa,4
Fatality rate for confirmed and probables,2014-09-16,Kouroussa,100%
New cases of confirmed among health workers,2014-09-16,Kouroussa,
Total case of confirmed among health workers,2014-09-16,Kouroussa,0
New deaths registered among health workers,2014-09-16,Kouroussa,0
Total deaths registered among health workers,2014-09-16,Kouroussa,0
New admits to CTE so far,2014-09-16,Kouroussa,
Total number of hospitalized cases in CTE,2014-09-16,Kouroussa,0
Total number of exits from CTE,2014-09-16,Kouroussa,0
Total number of admissions to CTE,2014-09-16,Kouroussa,0
New contacts registered so far,2014-09-16,Kouroussa,
Total contacts registered from start date,2014-09-16,Kouroussa,94
Number of contacts to follow today,2014-09-16,Kouroussa,0
Number of contacts followed today,2014-09-16,Kouroussa,0
Number of contacts out of the track 21 days,2014-09-16,Kouroussa,94
Number of contacts lost to follow up,2014-09-16,Kouroussa,0
Number of samples collected today,2014-09-16,Kouroussa,
Number of samples under test,2014-09-16,Kouroussa,
Total samples tested,2014-09-16,Kouroussa,
New cases of suspects,2014-09-16,Lola,
New cases of probables,2014-09-16,Lola,
New cases of confirmed,2014-09-16,Lola,
Total new cases registered so far,2014-09-16,Lola,
Total cases of suspects,2014-09-16,Lola,
Total cases of probables,2014-09-16,Lola,
Total cases of confirmed,2014-09-16,Lola,
Cumulative (confirmed + probable + suspects),2014-09-16,Lola,
Total suspected non-class cases,2014-09-16,Lola,
New deaths registered,2014-09-16,Lola,
Total deaths of suspects,2014-09-16,Lola,
Total deaths of probables,2014-09-16,Lola,
Total deaths of confirmed,2014-09-16,Lola,
Total deaths (confirmed + probables + suspects),2014-09-16,Lola,
Fatality rate for confirmed and probables,2014-09-16,Lola,
New cases of confirmed among health workers,2014-09-16,Lola,
Total case of confirmed among health workers,2014-09-16,Lola,
New deaths registered among health workers,2014-09-16,Lola,
Total deaths registered among health workers,2014-09-16,Lola,
New admits to CTE so far,2014-09-16,Lola,
Total number of hospitalized cases in CTE,2014-09-16,Lola,
Total number of exits from CTE,2014-09-16,Lola,
Total number of admissions to CTE,2014-09-16,Lola,
New contacts registered so far,2014-09-16,Lola,
Total contacts registered from start date,2014-09-16,Lola,
Number of contacts to follow today,2014-09-16,Lola,
Number of contacts followed today,2014-09-16,Lola,
Number of contacts out of the track 21 days,2014-09-16,Lola,
Number of contacts lost to follow up,2014-09-16,Lola,
Number of samples collected today,2014-09-16,Lola,
Number of samples under test,2014-09-16,Lola,
Total samples tested,2014-09-16,Lola,
New cases of suspects,2014-09-16,Macenta,
New cases of probables,2014-09-16,Macenta,
New cases of confirmed,2014-09-16,Macenta,3
Total new cases registered so far,2014-09-16,Macenta,3
Total cases of suspects,2014-09-16,Macenta,9
Total cases of probables,2014-09-16,Macenta,12
Total cases of confirmed,2014-09-16,Macenta,258
Cumulative (confirmed + probable + suspects),2014-09-16,Macenta,279
Total suspected non-class cases,2014-09-16,Macenta,130
New deaths registered,2014-09-16,Macenta,3
Total deaths of suspects,2014-09-16,Macenta,2
Total deaths of probables,2014-09-16,Macenta,12
Total deaths of confirmed,2014-09-16,Macenta,151
Total deaths (confirmed + probables + suspects),2014-09-16,Macenta,165
Fatality rate for confirmed and probables,2014-09-16,Macenta,59%
New cases of confirmed among health workers,2014-09-16,Macenta,
Total case of confirmed among health workers,2014-09-16,Macenta,9
New deaths registered among health workers,2014-09-16,Macenta,0
Total deaths registered among health workers,2014-09-16,Macenta,7
New admits to CTE so far,2014-09-16,Macenta,
Total number of hospitalized cases in CTE,2014-09-16,Macenta,0
Total number of exits from CTE,2014-09-16,Macenta,0
Total number of admissions to CTE,2014-09-16,Macenta,0
New contacts registered so far,2014-09-16,Macenta,
Total contacts registered from start date,2014-09-16,Macenta,1265
Number of contacts to follow today,2014-09-16,Macenta,970
Number of contacts followed today,2014-09-16,Macenta,960
Number of contacts out of the track 21 days,2014-09-16,Macenta,295
Number of contacts lost to follow up,2014-09-16,Macenta,0
Number of samples collected today,2014-09-16,Macenta,0
Number of samples under test,2014-09-16,Macenta,0
Total samples tested,2014-09-16,Macenta,0
New cases of suspects,2014-09-16,Nzerekore,
New cases of probables,2014-09-16,Nzerekore,
New cases of confirmed,2014-09-16,Nzerekore,
Total new cases registered so far,2014-09-16,Nzerekore,0
Total cases of suspects,2014-09-16,Nzerekore,0
Total cases of probables,2014-09-16,Nzerekore,11
Total cases of confirmed,2014-09-16,Nzerekore,17
Cumulative (confirmed + probable + suspects),2014-09-16,Nzerekore,28
Total suspected non-class cases,2014-09-16,Nzerekore,9
New deaths registered,2014-09-16,Nzerekore,
Total deaths of suspects,2014-09-16,Nzerekore,0
Total deaths of probables,2014-09-16,Nzerekore,11
Total deaths of confirmed,2014-09-16,Nzerekore,9
Total deaths (confirmed + probables + suspects),2014-09-16,Nzerekore,20
Fatality rate for confirmed and probables,2014-09-16,Nzerekore,71%
New cases of confirmed among health workers,2014-09-16,Nzerekore,
Total case of confirmed among health workers,2014-09-16,Nzerekore,1
New deaths registered among health workers,2014-09-16,Nzerekore,0
Total deaths registered among health workers,2014-09-16,Nzerekore,1
New admits to CTE so far,2014-09-16,Nzerekore,
Total number of hospitalized cases in CTE,2014-09-16,Nzerekore,0
Total number of exits from CTE,2014-09-16,Nzerekore,0
Total number of admissions to CTE,2014-09-16,Nzerekore,0
New contacts registered so far,2014-09-16,Nzerekore,
Total contacts registered from start date,2014-09-16,Nzerekore,264
Number of contacts to follow today,2014-09-16,Nzerekore,99
Number of contacts followed today,2014-09-16,Nzerekore,98
Number of contacts out of the track 21 days,2014-09-16,Nzerekore,164
Number of contacts lost to follow up,2014-09-16,Nzerekore,1
Number of samples collected today,2014-09-16,Nzerekore,
Number of samples under test,2014-09-16,Nzerekore,
Total samples tested,2014-09-16,Nzerekore,
New cases of suspects,2014-09-16,Pita,
New cases of probables,2014-09-16,Pita,
New cases of confirmed,2014-09-16,Pita,
Total new cases registered so far,2014-09-16,Pita,0
Total cases of suspects,2014-09-16,Pita,2
Total cases of probables,2014-09-16,Pita,1
Total cases of confirmed,2014-09-16,Pita,6
Cumulative (confirmed + probable + suspects),2014-09-16,Pita,9
Total suspected non-class cases,2014-09-16,Pita,17
New deaths registered,2014-09-16,Pita,
Total deaths of suspects,2014-09-16,Pita,0
Total deaths of probables,2014-09-16,Pita,1
Total deaths of confirmed,2014-09-16,Pita,2
Total deaths (confirmed + probables + suspects),2014-09-16,Pita,3
Fatality rate for confirmed and probables,2014-09-16,Pita,33%
New cases of confirmed among health workers,2014-09-16,Pita,
Total case of confirmed among health workers,2014-09-16,Pita,0
New deaths registered among health workers,2014-09-16,Pita,0
Total deaths registered among health workers,2014-09-16,Pita,0
New admits to CTE so far,2014-09-16,Pita,
Total number of hospitalized cases in CTE,2014-09-16,Pita,0
Total number of exits from CTE,2014-09-16,Pita,0
Total number of admissions to CTE,2014-09-16,Pita,0
New contacts registered so far,2014-09-16,Pita,
Total contacts registered from start date,2014-09-16,Pita,140
Number of contacts to follow today,2014-09-16,Pita,25
Number of contacts followed today,2014-09-16,Pita,25
Number of contacts out of the track 21 days,2014-09-16,Pita,115
Number of contacts lost to follow up,2014-09-16,Pita,0
Number of samples collected today,2014-09-16,Pita,
Number of samples under test,2014-09-16,Pita,
Total samples tested,2014-09-16,Pita,
New cases of suspects,2014-09-16,Siguiri,
New cases of probables,2014-09-16,Siguiri,
New cases of confirmed,2014-09-16,Siguiri,
Total new cases registered so far,2014-09-16,Siguiri,0
Total cases of suspects,2014-09-16,Siguiri,0
Total cases of probables,2014-09-16,Siguiri,0
Total cases of confirmed,2014-09-16,Siguiri,6
Cumulative (confirmed + probable + suspects),2014-09-16,Siguiri,6
Total suspected non-class cases,2014-09-16,Siguiri,9
New deaths registered,2014-09-16,Siguiri,
Total deaths of suspects,2014-09-16,Siguiri,0
Total deaths of probables,2014-09-16,Siguiri,0
Total deaths of confirmed,2014-09-16,Siguiri,3
Total deaths (confirmed + probables + suspects),2014-09-16,Siguiri,3
Fatality rate for confirmed and probables,2014-09-16,Siguiri,50%
New cases of confirmed among health workers,2014-09-16,Siguiri,
Total case of confirmed among health workers,2014-09-16,Siguiri,2
New deaths registered among health workers,2014-09-16,Siguiri,0
Total deaths registered among health workers,2014-09-16,Siguiri,0
New admits to CTE so far,2014-09-16,Siguiri,
Total number of hospitalized cases in CTE,2014-09-16,Siguiri,0
Total number of exits from CTE,2014-09-16,Siguiri,0
Total number of admissions to CTE,2014-09-16,Siguiri,13
New contacts registered so far,2014-09-16,Siguiri,
Total contacts registered from start date,2014-09-16,Siguiri,141
Number of contacts to follow today,2014-09-16,Siguiri,0
Number of contacts followed today,2014-09-16,Siguiri,0
Number of contacts out of the track 21 days,2014-09-16,Siguiri,141
Number of contacts lost to follow up,2014-09-16,Siguiri,0
Number of samples collected today,2014-09-16,Siguiri,
Number of samples under test,2014-09-16,Siguiri,
Total samples tested,2014-09-16,Siguiri,
New cases of suspects,2014-09-16,Telimele,
New cases of probables,2014-09-16,Telimele,
New cases of confirmed,2014-09-16,Telimele,
Total new cases registered so far,2014-09-16,Telimele,0
Total cases of suspects,2014-09-16,Telimele,0
Total cases of probables,2014-09-16,Telimele,3
Total cases of confirmed,2014-09-16,Telimele,23
Cumulative (confirmed + probable + suspects),2014-09-16,Telimele,26
Total suspected non-class cases,2014-09-16,Telimele,18
New deaths registered,2014-09-16,Telimele,
Total deaths of suspects,2014-09-16,Telimele,0
Total deaths of probables,2014-09-16,Telimele,3
Total deaths of confirmed,2014-09-16,Telimele,7
Total deaths (confirmed + probables + suspects),2014-09-16,Telimele,10
Fatality rate for confirmed and probables,2014-09-16,Telimele,38%
New cases of confirmed among health workers,2014-09-16,Telimele,
Total case of confirmed among health workers,2014-09-16,Telimele,2
New deaths registered among health workers,2014-09-16,Telimele,0
Total deaths registered among health workers,2014-09-16,Telimele,1
New admits to CTE so far,2014-09-16,Telimele,
Total number of hospitalized cases in CTE,2014-09-16,Telimele,0
Total number of exits from CTE,2014-09-16,Telimele,0
Total number of admissions to CTE,2014-09-16,Telimele,41
New contacts registered so far,2014-09-16,Telimele,
Total contacts registered from start date,2014-09-16,Telimele,259
Number of contacts to follow today,2014-09-16,Telimele,0
Number of contacts followed today,2014-09-16,Telimele,0
Number of contacts out of the track 21 days,2014-09-16,Telimele,259
Number of contacts lost to follow up,2014-09-16,Telimele,0
Number of samples collected today,2014-09-16,Telimele,
Number of samples under test,2014-09-16,Telimele,
Total samples tested,2014-09-16,Telimele,
New cases of suspects,2014-09-16,Totals,4
New cases of probables,2014-09-16,Totals,0
New cases of confirmed,2014-09-16,Totals,6
Total new cases registered so far,2014-09-16,Totals,10
Total cases of suspects,2014-09-16,Totals,32
Total cases of probables,2014-09-16,Totals,161
Total cases of confirmed,2014-09-16,Totals,771
Cumulative (confirmed + probable + suspects),2014-09-16,Totals,964
Total suspected non-class cases,2014-09-16,Totals,787
New deaths registered,2014-09-16,Totals,3
Total deaths of suspects,2014-09-16,Totals,5
Total deaths of probables,2014-09-16,Totals,161
Total deaths of confirmed,2014-09-16,Totals,442
Total deaths (confirmed + probables + suspects),2014-09-16,Totals,608
Fatality rate for confirmed and probables,2014-09-16,Totals,63%
New cases of confirmed among health workers,2014-09-16,Totals,0
Total case of confirmed among health workers,2014-09-16,Totals,61
New deaths registered among health workers,2014-09-16,Totals,0
Total deaths registered among health workers,2014-09-16,Totals,30
New admits to CTE so far,2014-09-16,Totals,3
Total number of hospitalized cases in CTE,2014-09-16,Totals,66
Total number of exits from CTE,2014-09-16,Totals,24
Total number of admissions to CTE,2014-09-16,Totals,1348
New contacts registered so far,2014-09-16,Totals,53
Total contacts registered from start date,2014-09-16,Totals,10082
Number of contacts to follow today,2014-09-16,Totals,2433
Number of contacts followed today,2014-09-16,Totals,2372
Number of contacts out of the track 21 days,2014-09-16,Totals,7642
Number of contacts lost to follow up,2014-09-16,Totals,7
Number of samples collected today,2014-09-16,Totals,25
Number of samples under test,2014-09-16,Totals,0
Total samples tested,2014-09-16,Totals,2489
New cases of suspects,2014-09-16,Yomou,
New cases of probables,2014-09-16,Yomou,
New cases of confirmed,2014-09-16,Yomou,
Total new cases registered so far,2014-09-16,Yomou,0
Total cases of suspects,2014-09-16,Yomou,0
Total cases of probables,2014-09-16,Yomou,0
Total cases of confirmed,2014-09-16,Yomou,11
Cumulative (confirmed + probable + suspects),2014-09-16,Yomou,11
Total suspected non-class cases,2014-09-16,Yomou,4
New deaths registered,2014-09-16,Yomou,
Total deaths of suspects,2014-09-16,Yomou,0
Total deaths of probables,2014-09-16,Yomou,0
Total deaths of confirmed,2014-09-16,Yomou,5
Total deaths (confirmed + probables + suspects),2014-09-16,Yomou,5
Fatality rate for confirmed and probables,2014-09-16,Yomou,45%
New cases of confirmed among health workers,2014-09-16,Yomou,
Total case of confirmed among health workers,2014-09-16,Yomou,1
New deaths registered among health workers,2014-09-16,Yomou,0
Total deaths registered among health workers,2014-09-16,Yomou,1
New admits to CTE so far,2014-09-16,Yomou,
Total number of hospitalized cases in CTE,2014-09-16,Yomou,0
Total number of exits from CTE,2014-09-16,Yomou,0
Total number of admissions to CTE,2014-09-16,Yomou,0
New contacts registered so far,2014-09-16,Yomou,
Total contacts registered from start date,2014-09-16,Yomou,56
Number of contacts to follow today,2014-09-16,Yomou,35
Number of contacts followed today,2014-09-16,Yomou,30
Number of contacts out of the track 21 days,2014-09-16,Yomou,21
Number of contacts lost to follow up,2014-09-16,Yomou,0
Number of samples collected today,2014-09-16,Yomou,
Number of samples under test,2014-09-16,Yomou,
Total samples tested,2014-09-16,Yomou,
New cases of suspects,2014-10-01,Beyla,
New cases of probables,2014-10-01,Beyla,
New cases of confirmed,2014-10-01,Beyla,
Total new cases registered so far,2014-10-01,Beyla,0
Total cases of suspects,2014-10-01,Beyla,0
Total cases of probables,2014-10-01,Beyla,0
Total cases of confirmed,2014-10-01,Beyla,2
Cumulative (confirmed + probable + suspects),2014-10-01,Beyla,2
Total suspected non-class cases,2014-10-01,Beyla,0
New deaths registered,2014-10-01,Beyla,
Total deaths of suspects,2014-10-01,Beyla,0
Total deaths of probables,2014-10-01,Beyla,0
Total deaths of confirmed,2014-10-01,Beyla,1
Total deaths (confirmed + probables + suspects),2014-10-01,Beyla,0
Fatality rate for confirmed and probables,2014-10-01,Beyla,100%
New cases of confirmed among health workers,2014-10-01,Beyla,
Total case of confirmed among health workers,2014-10-01,Beyla,0
New deaths registered among health workers,2014-10-01,Beyla,0
Total deaths registered among health workers,2014-10-01,Beyla,0
New admits to CTE so far,2014-10-01,Beyla,
Total number of hospitalized cases in CTE,2014-10-01,Beyla,0
Total number of exits from CTE,2014-10-01,Beyla,0
Total number of admissions to CTE,2014-10-01,Beyla,0
New contacts registered so far,2014-10-01,Beyla,
Total contacts registered from start date,2014-10-01,Beyla,2
Number of contacts to follow today,2014-10-01,Beyla,929
Number of contacts followed today,2014-10-01,Beyla,29
Number of contacts out of the track 21 days,2014-10-01,Beyla,0
Number of contacts lost to follow up,2014-10-01,Beyla,0
Number of samples collected today,2014-10-01,Beyla,
Number of samples under test,2014-10-01,Beyla,
Total samples tested,2014-10-01,Beyla,
New cases of suspects,2014-10-01,Boffa,
New cases of probables,2014-10-01,Boffa,
New cases of confirmed,2014-10-01,Boffa,
Total new cases registered so far,2014-10-01,Boffa,0
Total cases of suspects,2014-10-01,Boffa,0
Total cases of probables,2014-10-01,Boffa,5
Total cases of confirmed,2014-10-01,Boffa,19
Cumulative (confirmed + probable + suspects),2014-10-01,Boffa,24
Total suspected non-class cases,2014-10-01,Boffa,20
New deaths registered,2014-10-01,Boffa,
Total deaths of suspects,2014-10-01,Boffa,0
Total deaths of probables,2014-10-01,Boffa,5
Total deaths of confirmed,2014-10-01,Boffa,11
Total deaths (confirmed + probables + suspects),2014-10-01,Boffa,16
Fatality rate for confirmed and probables,2014-10-01,Boffa,67%
New cases of confirmed among health workers,2014-10-01,Boffa,
Total case of confirmed among health workers,2014-10-01,Boffa,0
New deaths registered among health workers,2014-10-01,Boffa,0
Total deaths registered among health workers,2014-10-01,Boffa,0
New admits to CTE so far,2014-10-01,Boffa,
Total number of hospitalized cases in CTE,2014-10-01,Boffa,0
Total number of exits from CTE,2014-10-01,Boffa,0
Total number of admissions to CTE,2014-10-01,Boffa,0
New contacts registered so far,2014-10-01,Boffa,
Total contacts registered from start date,2014-10-01,Boffa,397
Number of contacts to follow today,2014-10-01,Boffa,0
Number of contacts followed today,2014-10-01,Boffa,0
Number of contacts out of the track 21 days,2014-10-01,Boffa,397
Number of contacts lost to follow up,2014-10-01,Boffa,0
Number of samples collected today,2014-10-01,Boffa,
Number of samples under test,2014-10-01,Boffa,
Total samples tested,2014-10-01,Boffa,
New cases of suspects,2014-10-01,Conakry,15
New cases of probables,2014-10-01,Conakry,
New cases of confirmed,2014-10-01,Conakry,2
Total new cases registered so far,2014-10-01,Conakry,17
Total cases of suspects,2014-10-01,Conakry,19
Total cases of probables,2014-10-01,Conakry,10
Total cases of confirmed,2014-10-01,Conakry,170
Cumulative (confirmed + probable + suspects),2014-10-01,Conakry,199
Total suspected non-class cases,2014-10-01,Conakry,355
New deaths registered,2014-10-01,Conakry,
Total deaths of suspects,2014-10-01,Conakry,0
Total deaths of probables,2014-10-01,Conakry,10
Total deaths of confirmed,2014-10-01,Conakry,68
Total deaths (confirmed + probables + suspects),2014-10-01,Conakry,78
Fatality rate for confirmed and probables,2014-10-01,Conakry,39%
New cases of confirmed among health workers,2014-10-01,Conakry,2
Total case of confirmed among health workers,2014-10-01,Conakry,40
New deaths registered among health workers,2014-10-01,Conakry,0
Total deaths registered among health workers,2014-10-01,Conakry,18
New admits to CTE so far,2014-10-01,Conakry,15
Total number of hospitalized cases in CTE,2014-10-01,Conakry,48
Total number of exits from CTE,2014-10-01,Conakry,9
Total number of admissions to CTE,2014-10-01,Conakry,571
New contacts registered so far,2014-10-01,Conakry,
Total contacts registered from start date,2014-10-01,Conakry,3319
Number of contacts to follow today,2014-10-01,Conakry,825
Number of contacts followed today,2014-10-01,Conakry,778
Number of contacts out of the track 21 days,2014-10-01,Conakry,2494
Number of contacts lost to follow up,2014-10-01,Conakry,0
Number of samples collected today,2014-10-01,Conakry,16
Number of samples under test,2014-10-01,Conakry,0
Total samples tested,2014-10-01,Conakry,1171
New cases of suspects,2014-10-01,Coyah,
New cases of probables,2014-10-01,Coyah,
New cases of confirmed,2014-10-01,Coyah,
Total new cases registered so far,2014-10-01,Coyah,0
Total cases of suspects,2014-10-01,Coyah,0
Total cases of probables,2014-10-01,Coyah,0
Total cases of confirmed,2014-10-01,Coyah,12
Cumulative (confirmed + probable + suspects),2014-10-01,Coyah,12
Total suspected non-class cases,2014-10-01,Coyah,6
New deaths registered,2014-10-01,Coyah,
Total deaths of suspects,2014-10-01,Coyah,0
Total deaths of probables,2014-10-01,Coyah,0
Total deaths of confirmed,2014-10-01,Coyah,5
Total deaths (confirmed + probables + suspects),2014-10-01,Coyah,5
Fatality rate for confirmed and probables,2014-10-01,Coyah,42%
New cases of confirmed among health workers,2014-10-01,Coyah,
Total case of confirmed among health workers,2014-10-01,Coyah,1
New deaths registered among health workers,2014-10-01,Coyah,0
Total deaths registered among health workers,2014-10-01,Coyah,0
New admits to CTE so far,2014-10-01,Coyah,
Total number of hospitalized cases in CTE,2014-10-01,Coyah,0
Total number of exits from CTE,2014-10-01,Coyah,0
Total number of admissions to CTE,2014-10-01,Coyah,0
New contacts registered so far,2014-10-01,Coyah,
Total contacts registered from start date,2014-10-01,Coyah,116
Number of contacts to follow today,2014-10-01,Coyah,98
Number of contacts followed today,2014-10-01,Coyah,98
Number of contacts out of the track 21 days,2014-10-01,Coyah,17
Number of contacts lost to follow up,2014-10-01,Coyah,1
Number of samples collected today,2014-10-01,Coyah,
Number of samples under test,2014-10-01,Coyah,
Total samples tested,2014-10-01,Coyah,
New cases of suspects,2014-10-01,Dabola,
New cases of probables,2014-10-01,Dabola,
New cases of confirmed,2014-10-01,Dabola,
Total new cases registered so far,2014-10-01,Dabola,0
Total cases of suspects,2014-10-01,Dabola,0
Total cases of probables,2014-10-01,Dabola,3
Total cases of confirmed,2014-10-01,Dabola,1
Cumulative (confirmed + probable + suspects),2014-10-01,Dabola,4
Total suspected non-class cases,2014-10-01,Dabola,3
New deaths registered,2014-10-01,Dabola,
Total deaths of suspects,2014-10-01,Dabola,0
Total deaths of probables,2014-10-01,Dabola,3
Total deaths of confirmed,2014-10-01,Dabola,1
Total deaths (confirmed + probables + suspects),2014-10-01,Dabola,4
Fatality rate for confirmed and probables,2014-10-01,Dabola,100%
New cases of confirmed among health workers,2014-10-01,Dabola,
Total case of confirmed among health workers,2014-10-01,Dabola,0
New deaths registered among health workers,2014-10-01,Dabola,0
Total deaths registered among health workers,2014-10-01,Dabola,0
New admits to CTE so far,2014-10-01,Dabola,
Total number of hospitalized cases in CTE,2014-10-01,Dabola,0
Total number of exits from CTE,2014-10-01,Dabola,0
Total number of admissions to CTE,2014-10-01,Dabola,0
New contacts registered so far,2014-10-01,Dabola,
Total contacts registered from start date,2014-10-01,Dabola,69
Number of contacts to follow today,2014-10-01,Dabola,0
Number of contacts followed today,2014-10-01,Dabola,0
Number of contacts out of the track 21 days,2014-10-01,Dabola,69
Number of contacts lost to follow up,2014-10-01,Dabola,0
Number of samples collected today,2014-10-01,Dabola,
Number of samples under test,2014-10-01,Dabola,
Total samples tested,2014-10-01,Dabola,
New cases of suspects,2014-10-01,Dalaba,
New cases of probables,2014-10-01,Dalaba,
New cases of confirmed,2014-10-01,Dalaba,
Total new cases registered so far,2014-10-01,Dalaba,0
Total cases of suspects,2014-10-01,Dalaba,0
Total cases of probables,2014-10-01,Dalaba,0
Total cases of confirmed,2014-10-01,Dalaba,6
Cumulative (confirmed + probable + suspects),2014-10-01,Dalaba,6
Total suspected non-class cases,2014-10-01,Dalaba,1
New deaths registered,2014-10-01,Dalaba,
Total deaths of suspects,2014-10-01,Dalaba,0
Total deaths of probables,2014-10-01,Dalaba,0
Total deaths of confirmed,2014-10-01,Dalaba,0
Total deaths (confirmed + probables + suspects),2014-10-01,Dalaba,0
Fatality rate for confirmed and probables,2014-10-01,Dalaba,0%
New cases of confirmed among health workers,2014-10-01,Dalaba,
Total case of confirmed among health workers,2014-10-01,Dalaba,0
New deaths registered among health workers,2014-10-01,Dalaba,0
Total deaths registered among health workers,2014-10-01,Dalaba,0
New admits to CTE so far,2014-10-01,Dalaba,
Total number of hospitalized cases in CTE,2014-10-01,Dalaba,0
Total number of exits from CTE,2014-10-01,Dalaba,0
Total number of admissions to CTE,2014-10-01,Dalaba,0
New contacts registered so far,2014-10-01,Dalaba,
Total contacts registered from start date,2014-10-01,Dalaba,34
Number of contacts to follow today,2014-10-01,Dalaba,34
Number of contacts followed today,2014-10-01,Dalaba,20
Number of contacts out of the track 21 days,2014-10-01,Dalaba,0
Number of contacts lost to follow up,2014-10-01,Dalaba,0
Number of samples collected today,2014-10-01,Dalaba,
Number of samples under test,2014-10-01,Dalaba,
Total samples tested,2014-10-01,Dalaba,
New cases of suspects,2014-10-01,Dinguiraye,
New cases of probables,2014-10-01,Dinguiraye,
New cases of confirmed,2014-10-01,Dinguiraye,
Total new cases registered so far,2014-10-01,Dinguiraye,0
Total cases of suspects,2014-10-01,Dinguiraye,0
Total cases of probables,2014-10-01,Dinguiraye,1
Total cases of confirmed,2014-10-01,Dinguiraye,0
Cumulative (confirmed + probable + suspects),2014-10-01,Dinguiraye,1
Total suspected non-class cases,2014-10-01,Dinguiraye,0
New deaths registered,2014-10-01,Dinguiraye,
Total deaths of suspects,2014-10-01,Dinguiraye,0
Total deaths of probables,2014-10-01,Dinguiraye,1
Total deaths of confirmed,2014-10-01,Dinguiraye,0
Total deaths (confirmed + probables + suspects),2014-10-01,Dinguiraye,1
Fatality rate for confirmed and probables,2014-10-01,Dinguiraye,100%
New cases of confirmed among health workers,2014-10-01,Dinguiraye,
Total case of confirmed among health workers,2014-10-01,Dinguiraye,0
New deaths registered among health workers,2014-10-01,Dinguiraye,0
Total deaths registered among health workers,2014-10-01,Dinguiraye,0
New admits to CTE so far,2014-10-01,Dinguiraye,
Total number of hospitalized cases in CTE,2014-10-01,Dinguiraye,0
Total number of exits from CTE,2014-10-01,Dinguiraye,0
Total number of admissions to CTE,2014-10-01,Dinguiraye,0
New contacts registered so far,2014-10-01,Dinguiraye,
Total contacts registered from start date,2014-10-01,Dinguiraye,0
Number of contacts to follow today,2014-10-01,Dinguiraye,0
Number of contacts followed today,2014-10-01,Dinguiraye,0
Number of contacts out of the track 21 days,2014-10-01,Dinguiraye,0
Number of contacts lost to follow up,2014-10-01,Dinguiraye,0
Number of samples collected today,2014-10-01,Dinguiraye,
Number of samples under test,2014-10-01,Dinguiraye,
Total samples tested,2014-10-01,Dinguiraye,
