,Description,Date,Location,Value
1628,Number of contacts lost to follow up,2014-09-16,Forecariah,0
1629,Number of samples collected today,2014-09-16,Forecariah,
1630,Number of samples under test,2014-09-16,Forecariah,
1631,Total samples tested,2014-09-16,Forecariah,
1792,New cases of suspects,2014-09-16,Gueckedou,
1793,New cases of probables,2014-09-16,Gueckedou,
1794,New cases of confirmed,2014-09-16,Gueckedou,
1795,Total new cases registered so far,2014-09-16,Gueckedou,0
1796,Total cases of suspects,2014-09-16,Gueckedou,5
1797,Total cases of probables,2014-09-16,Gueckedou,110
1798,Total cases of confirmed,2014-09-16,Gueckedou,235
1799,Cumulative (confirmed + probable + suspects),2014-09-16,Gueckedou,350
1800,Total suspected non-class cases,2014-09-16,Gueckedou,255
1801,New deaths registered,2014-09-16,Gueckedou,
1802,Total deaths of suspects,2014-09-16,Gueckedou,1
1803,Total deaths of probables,2014-09-16,Gueckedou,110
1804,Total deaths of confirmed,2014-09-16,Gueckedou,182
1805,Total deaths (confirmed + probables + suspects),2014-09-16,Gueckedou,293
1806,Fatality rate for confirmed and probables,2014-09-16,Gueckedou,84%
1807,New cases of confirmed among health workers,2014-09-16,Gueckedou,
1808,Total case of confirmed among health workers,2014-09-16,Gueckedou,9
1809,New deaths registered among health workers,2014-09-16,Gueckedou,0
1810,Total deaths registered among health workers,2014-09-16,Gueckedou,6
1811,New admits to CTE so far,2014-09-16,Gueckedou,0
1812,Total number of hospitalized cases in CTE,2014-09-16,Gueckedou,49
1813,Total number of exits from CTE,2014-09-16,Gueckedou,15
1814,Total number of admissions to CTE,2014-09-16,Gueckedou,842
1815,New contacts registered so far,2014-09-16,Gueckedou,
1816,Total contacts registered from start date,2014-09-16,Gueckedou,3749
1817,Number of contacts to follow today,2014-09-16,Gueckedou,254
1818,Number of contacts followed today,2014-09-16,Gueckedou,244
1819,Number of contacts out of the track 21 days,2014-09-16,Gueckedou,3489
1820,Number of contacts lost to follow up,2014-09-16,Gueckedou,6
1821,Number of samples collected today,2014-09-16,Gueckedou,12
1822,Number of samples under test,2014-09-16,Gueckedou,0
1823,Total samples tested,2014-09-16,Gueckedou,1472
1984,New cases of suspects,2014-09-16,Kerouane,
1985,New cases of probables,2014-09-16,Kerouane,
1986,New cases of confirmed,2014-09-16,Kerouane,
1987,Total new cases registered so far,2014-09-16,Kerouane,0
1988,Total cases of suspects,2014-09-16,Kerouane,0
1989,Total cases of probables,2014-09-16,Kerouane,0
1990,Total cases of confirmed,2014-09-16,Kerouane,22
1991,Cumulative (confirmed + probable + suspects),2014-09-16,Kerouane,22
1992,Total suspected non-class cases,2014-09-16,Kerouane,5
1993,New deaths registered,2014-09-16,Kerouane,
1994,Total deaths of suspects,2014-09-16,Kerouane,0
1995,Total deaths of probables,2014-09-16,Kerouane,0
1996,Total deaths of confirmed,2014-09-16,Kerouane,3
1997,Total deaths (confirmed + probables + suspects),2014-09-16,Kerouane,3
1998,Fatality rate for confirmed and probables,2014-09-16,Kerouane,14%
1999,New cases of confirmed among health workers,2014-09-16,Kerouane,
2000,Total case of confirmed among health workers,2014-09-16,Kerouane,0
2001,New deaths registered among health workers,2014-09-16,Kerouane,0
2002,Total deaths registered among health workers,2014-09-16,Kerouane,0
2003,New admits to CTE so far,2014-09-16,Kerouane,
2004,Total number of hospitalized cases in CTE,2014-09-16,Kerouane,0
2005,Total number of exits from CTE,2014-09-16,Kerouane,0
2006,Total number of admissions to CTE,2014-09-16,Kerouane,0
2007,New contacts registered so far,2014-09-16,Kerouane,
2008,Total contacts registered from start date,2014-09-16,Kerouane,208
2009,Number of contacts to follow today,2014-09-16,Kerouane,137
2010,Number of contacts followed today,2014-09-16,Kerouane,137
2011,Number of contacts out of the track 21 days,2014-09-16,Kerouane,71
2012,Number of contacts lost to follow up,2014-09-16,Kerouane,0
2013,Number of samples collected today,2014-09-16,Kerouane,
2014,Number of samples under test,2014-09-16,Kerouane,
2015,Total samples tested,2014-09-16,Kerouane,
2176,New cases of suspects,2014-09-16,Kindia,
2177,New cases of probables,2014-09-16,Kindia,
2178,New cases of confirmed,2014-09-16,Kindia,
2179,Total new cases registered so far,2014-09-16,Kindia,
2180,Total cases of suspects,2014-09-16,Kindia,
2181,Total cases of probables,2014-09-16,Kindia,
2182,Total cases of confirmed,2014-09-16,Kindia,
2183,Cumulative (confirmed + probable + suspects),2014-09-16,Kindia,
2184,Total suspected non-class cases,2014-09-16,Kindia,
2185,New deaths registered,2014-09-16,Kindia,
2186,Total deaths of suspects,2014-09-16,Kindia,
2187,Total deaths of probables,2014-09-16,Kindia,
2188,Total deaths of confirmed,2014-09-16,Kindia,
2189,Total deaths (confirmed + probables + suspects),2014-09-16,Kindia,
2190,Fatality rate for confirmed and probables,2014-09-16,Kindia,
2191,New cases of confirmed among health workers,2014-09-16,Kindia,
2192,Total case of confirmed among health workers,2014-09-16,Kindia,
2193,New deaths registered among health workers,2014-09-16,Kindia,
2194,Total deaths registered among health workers,2014-09-16,Kindia,
2195,New admits to CTE so far,2014-09-16,Kindia,
2196,Total number of hospitalized cases in CTE,2014-09-16,Kindia,
2197,Total number of exits from CTE,2014-09-16,Kindia,
2198,Total number of admissions to CTE,2014-09-16,Kindia,
2199,New contacts registered so far,2014-09-16,Kindia,
2200,Total contacts registered from start date,2014-09-16,Kindia,
2201,Number of contacts to follow today,2014-09-16,Kindia,
2202,Number of contacts followed today,2014-09-16,Kindia,
2203,Number of contacts out of the track 21 days,2014-09-16,Kindia,
2204,Number of contacts lost to follow up,2014-09-16,Kindia,
2205,Number of samples collected today,2014-09-16,Kindia,
2206,Number of samples under test,2014-09-16,Kindia,
2207,Total samples tested,2014-09-16,Kindia,
2368,New cases of suspects,2014-09-16,Kissidougou,
2369,New cases of probables,2014-09-16,Kissidougou,
2370,New cases of confirmed,2014-09-16,Kissidougou,
2371,Total new cases registered so far,2014-09-16,Kissidougou,0
2372,Total cases of suspects,2014-09-16,Kissidougou,0
2373,Total cases of probables,2014-09-16,Kissidougou,5
2374,Total cases of confirmed,2014-09-16,Kissidougou,3
2375,Cumulative (confirmed + probable + suspects),2014-09-16,Kissidougou,8
2376,Total suspected non-class cases,2014-09-16,Kissidougou,7
2377,New deaths registered,2014-09-16,Kissidougou,
2378,Total deaths of suspects,2014-09-16,Kissidougou,0
2379,Total deaths of probables,2014-09-16,Kissidougou,5
2380,Total deaths of confirmed,2014-09-16,Kissidougou,2
2381,Total deaths (confirmed + probables + suspects),2014-09-16,Kissidougou,7
2382,Fatality rate for confirmed and probables,2014-09-16,Kissidougou,88%
2383,New cases of confirmed among health workers,2014-09-16,Kissidougou,
2384,Total case of confirmed among health workers,2014-09-16,Kissidougou,0
2385,New deaths registered among health workers,2014-09-16,Kissidougou,0
2386,Total deaths registered among health workers,2014-09-16,Kissidougou,0
2387,New admits to CTE so far,2014-09-16,Kissidougou,
2388,Total number of hospitalized cases in CTE,2014-09-16,Kissidougou,0
2389,Total number of exits from CTE,2014-09-16,Kissidougou,0
2390,Total number of admissions to CTE,2014-09-16,Kissidougou,0
2391,New contacts registered so far,2014-09-16,Kissidougou,
2392,Total contacts registered from start date,2014-09-16,Kissidougou,159
2393,Number of contacts to follow today,2014-09-16,Kissidougou,0
2394,Number of contacts followed today,2014-09-16,Kissidougou,0
2395,Number of contacts out of the track 21 days,2014-09-16,Kissidougou,159
2396,Number of contacts lost to follow up,2014-09-16,Kissidougou,0
2397,Number of samples collected today,2014-09-16,Kissidougou,
2398,Number of samples under test,2014-09-16,Kissidougou,
2399,Total samples tested,2014-09-16,Kissidougou,
2560,New cases of suspects,2014-09-16,Kouroussa,
2561,New cases of probables,2014-09-16,Kouroussa,
2562,New cases of confirmed,2014-09-16,Kouroussa,
2563,Total new cases registered so far,2014-09-16,Kouroussa,0
2564,Total cases of suspects,2014-09-16,Kouroussa,0
2565,Total cases of probables,2014-09-16,Kouroussa,2
2566,Total cases of confirmed,2014-09-16,Kouroussa,2
2567,Cumulative (confirmed + probable + suspects),2014-09-16,Kouroussa,4
2568,Total suspected non-class cases,2014-09-16,Kouroussa,1
2569,New deaths registered,2014-09-16,Kouroussa,
2570,Total deaths of suspects,2014-09-16,Kouroussa,0
2571,Total deaths of probables,2014-09-16,Kouroussa,2
2572,Total deaths of confirmed,2014-09-16,Kouroussa,2
2573,Total deaths (confirmed + probables + suspects),2014-09-16,Kouroussa,4
2574,Fatality rate for confirmed and probables,2014-09-16,Kouroussa,100%
2575,New cases of confirmed among health workers,2014-09-16,Kouroussa,
2576,Total case of confirmed among health workers,2014-09-16,Kouroussa,0
2577,New deaths registered among health workers,2014-09-16,Kouroussa,0
2578,Total deaths registered among health workers,2014-09-16,Kouroussa,0
2579,New admits to CTE so far,2014-09-16,Kouroussa,
2580,Total number of hospitalized cases in CTE,2014-09-16,Kouroussa,0
2581,Total number of exits from CTE,2014-09-16,Kouroussa,0
2582,Total number of admissions to CTE,2014-09-16,Kouroussa,0
2583,New contacts registered so far,2014-09-16,Kouroussa,
2584,Total contacts registered from start date,2014-09-16,Kouroussa,94
2585,Number of contacts to follow today,2014-09-16,Kouroussa,0
2586,Number of contacts followed today,2014-09-16,Kouroussa,0
2587,Number of contacts out of the track 21 days,2014-09-16,Kouroussa,94
2588,Number of contacts lost to follow up,2014-09-16,Kouroussa,0
2589,Number of samples collected today,2014-09-16,Kouroussa,
2590,Number of samples under test,2014-09-16,Kouroussa,
2591,Total samples tested,2014-09-16,Kouroussa,
2752,New cases of suspects,2014-09-16,Lola,
2753,New cases of probables,2014-09-16,Lola,
2754,New cases of confirmed,2014-09-16,Lola,
2755,Total new cases registered so far,2014-09-16,Lola,
2756,Total cases of suspects,2014-09-16,Lola,
2757,Total cases of probables,2014-09-16,Lola,
2758,Total cases of confirmed,2014-09-16,Lola,
2759,Cumulative (confirmed + probable + suspects),2014-09-16,Lola,
2760,Total suspected non-class cases,2014-09-16,Lola,
2761,New deaths registered,2014-09-16,Lola,
2762,Total deaths of suspects,2014-09-16,Lola,
2763,Total deaths of probables,2014-09-16,Lola,
2764,Total deaths of confirmed,2014-09-16,Lola,
2765,Total deaths (confirmed + probables + suspects),2014-09-16,Lola,
2766,Fatality rate for confirmed and probables,2014-09-16,Lola,
2767,New cases of confirmed among health workers,2014-09-16,Lola,
2768,Total case of confirmed among health workers,2014-09-16,Lola,
2769,New deaths registered among health workers,2014-09-16,Lola,
2770,Total deaths registered among health workers,2014-09-16,Lola,
2771,New admits to CTE so far,2014-09-16,Lola,
2772,Total number of hospitalized cases in CTE,2014-09-16,Lola,
2773,Total number of exits from CTE,2014-09-16,Lola,
2774,Total number of admissions to CTE,2014-09-16,Lola,
2775,New contacts registered so far,2014-09-16,Lola,
2776,Total contacts registered from start date,2014-09-16,Lola,
2777,Number of contacts to follow today,2014-09-16,Lola,
2778,Number of contacts followed today,2014-09-16,Lola,
2779,Number of contacts out of the track 21 days,2014-09-16,Lola,
2780,Number of contacts lost to follow up,2014-09-16,Lola,
2781,Number of samples collected today,2014-09-16,Lola,
2782,Number of samples under test,2014-09-16,Lola,
2783,Total samples tested,2014-09-16,Lola,
2944,New cases of suspects,2014-09-16,Macenta,
2945,New cases of probables,2014-09-16,Macenta,
2946,New cases of confirmed,2014-09-16,Macenta,3
2947,Total new cases registered so far,2014-09-16,Macenta,3
2948,Total cases of suspects,2014-09-16,Macenta,9
2949,Total cases of probables,2014-09-16,Macenta,12
2950,Total cases of confirmed,2014-09-16,Macenta,258
2951,Cumulative (confirmed + probable + suspects),2014-09-16,Macenta,279
2952,Total suspected non-class cases,2014-09-16,Macenta,130
2953,New deaths registered,2014-09-16,Macenta,3
2954,Total deaths of suspects,2014-09-16,Macenta,2
2955,Total deaths of probables,2014-09-16,Macenta,12
2956,Total deaths of confirmed,2014-09-16,Macenta,151
2957,Total deaths (confirmed + probables + suspects),2014-09-16,Macenta,165
2958,Fatality rate for confirmed and probables,2014-09-16,Macenta,59%
2959,New cases of confirmed among health workers,2014-09-16,Macenta,
2960,Total case of confirmed among health workers,2014-09-16,Macenta,9
2961,New deaths registered among health workers,2014-09-16,Macenta,0
2962,Total deaths registered among health workers,2014-09-16,Macenta,7
2963,New admits to CTE so far,2014-09-16,Macenta,
2964,Total number of hospitalized cases in CTE,2014-09-16,Macenta,0
2965,Total number of exits from CTE,2014-09-16,Macenta,0
2966,Total number of admissions to CTE,2014-09-16,Macenta,0
2967,New contacts registered so far,2014-09-16,Macenta,
2968,Total contacts registered from start date,2014-09-16,Macenta,1265
2969,Number of contacts to follow today,2014-09-16,Macenta,970
2970,Number of contacts followed today,2014-09-16,Macenta,960
2971,Number of contacts out of the track 21 days,2014-09-16,Macenta,295
2972,Number of contacts lost to follow up,2014-09-16,Macenta,0
2973,Number of samples collected today,2014-09-16,Macenta,0
2974,Number of samples under test,2014-09-16,Macenta,0
2975,Total samples tested,2014-09-16,Macenta,0
3136,New cases of suspects,2014-09-16,Nzerekore,
3137,New cases of probables,2014-09-16,Nzerekore,
3138,New cases of confirmed,2014-09-16,Nzerekore,
3139,Total new cases registered so far,2014-09-16,Nzerekore,0
3140,Total cases of suspects,2014-09-16,Nzerekore,0
3141,Total cases of probables,2014-09-16,Nzerekore,11
3142,Total cases of confirmed,2014-09-16,Nzerekore,17
3143,Cumulative (confirmed + probable + suspects),2014-09-16,Nzerekore,28
3144,Total suspected non-class cases,2014-09-16,Nzerekore,9
3145,New deaths registered,2014-09-16,Nzerekore,
3146,Total deaths of suspects,2014-09-16,Nzerekore,0
3147,Total deaths of probables,2014-09-16,Nzerekore,11
3148,Total deaths of confirmed,2014-09-16,Nzerekore,9
3149,Total deaths (confirmed + probables + suspects),2014-09-16,Nzerekore,20
3150,Fatality rate for confirmed and probables,2014-09-16,Nzerekore,71%
3151,New cases of confirmed among health workers,2014-09-16,Nzerekore,
3152,Total case of confirmed among health workers,2014-09-16,Nzerekore,1
3153,New deaths registered among health workers,2014-09-16,Nzerekore,0
3154,Total deaths registered among health workers,2014-09-16,Nzerekore,1
3155,New admits to CTE so far,2014-09-16,Nzerekore,
3156,Total number of hospitalized cases in CTE,2014-09-16,Nzerekore,0
3157,Total number of exits from CTE,2014-09-16,Nzerekore,0
3158,Total number of admissions to CTE,2014-09-16,Nzerekore,0
3159,New contacts registered so far,2014-09-16,Nzerekore,
3160,Total contacts registered from start date,2014-09-16,Nzerekore,264
3161,Number of contacts to follow today,2014-09-16,Nzerekore,99
3162,Number of contacts followed today,2014-09-16,Nzerekore,98
3163,Number of contacts out of the track 21 days,2014-09-16,Nzerekore,164
3164,Number of contacts lost to follow up,2014-09-16,Nzerekore,1
3165,Number of samples collected today,2014-09-16,Nzerekore,
3166,Number of samples under test,2014-09-16,Nzerekore,
3167,Total samples tested,2014-09-16,Nzerekore,
3328,New cases of suspects,2014-09-16,Pita,
3329,New cases of probables,2014-09-16,Pita,
3330,New cases of confirmed,2014-09-16,Pita,
3331,Total new cases registered so far,2014-09-16,Pita,0
3332,Total cases of suspects,2014-09-16,Pita,2
3333,Total cases of probables,2014-09-16,Pita,1
3334,Total cases of confirmed,2014-09-16,Pita,6
3335,Cumulative (confirmed + probable + suspects),2014-09-16,Pita,9
3336,Total suspected non-class cases,2014-09-16,Pita,17
3337,New deaths registered,2014-09-16,Pita,
3338,Total deaths of suspects,2014-09-16,Pita,0
3339,Total deaths of probables,2014-09-16,Pita,1
3340,Total deaths of confirmed,2014-09-16,Pita,2
3341,Total deaths (confirmed + probables + suspects),2014-09-16,Pita,3
3342,Fatality rate for confirmed and probables,2014-09-16,Pita,33%
3343,New cases of confirmed among health workers,2014-09-16,Pita,
3344,Total case of confirmed among health workers,2014-09-16,Pita,0
3345,New deaths registered among health workers,2014-09-16,Pita,0
3346,Total deaths registered among health workers,2014-09-16,Pita,0
3347,New admits to CTE so far,2014-09-16,Pita,
3348,Total number of hospitalized cases in CTE,2014-09-16,Pita,0
3349,Total number of exits from CTE,2014-09-16,Pita,0
3350,Total number of admissions to CTE,2014-09-16,Pita,0
3351,New contacts registered so far,2014-09-16,Pita,
3352,Total contacts registered from start date,2014-09-16,Pita,140
3353,Number of contacts to follow today,2014-09-16,Pita,25
3354,Number of contacts followed today,2014-09-16,Pita,25
3355,Number of contacts out of the track 21 days,2014-09-16,Pita,115
3356,Number of contacts lost to follow up,2014-09-16,Pita,0
3357,Number of samples collected today,2014-09-16,Pita,
3358,Number of samples under test,2014-09-16,Pita,
3359,Total samples tested,2014-09-16,Pita,
3520,New cases of suspects,2014-09-16,Siguiri,
3521,New cases of probables,2014-09-16,Siguiri,
3522,New cases of confirmed,2014-09-16,Siguiri,
3523,Total new cases registered so far,2014-09-16,Siguiri,0
3524,Total cases of suspects,2014-09-16,Siguiri,0
3525,Total cases of probables,2014-09-16,Siguiri,0
3526,Total cases of confirmed,2014-09-16,Siguiri,6
3527,Cumulative (confirmed + probable + suspects),2014-09-16,Siguiri,6
3528,Total suspected non-class cases,2014-09-16,Siguiri,9
3529,New deaths registered,2014-09-16,Siguiri,
3530,Total deaths of suspects,2014-09-16,Siguiri,0
3531,Total deaths of probables,2014-09-16,Siguiri,0
3532,Total deaths of confirmed,2014-09-16,Siguiri,3
3533,Total deaths (confirmed + probables + suspects),2014-09-16,Siguiri,3
3534,Fatality rate for confirmed and probables,2014-09-16,Siguiri,50%
3535,New cases of confirmed among health workers,2014-09-16,Siguiri,
3536,Total case of confirmed among health workers,2014-09-16,Siguiri,2
3537,New deaths registered among health workers,2014-09-16,Siguiri,0
3538,Total deaths registered among health workers,2014-09-16,Siguiri,0
3539,New admits to CTE so far,2014-09-16,Siguiri,
3540,Total number of hospitalized cases in CTE,2014-09-16,Siguiri,0
3541,Total number of exits from CTE,2014-09-16,Siguiri,0
3542,Total number of admissions to CTE,2014-09-16,Siguiri,13
3543,New contacts registered so far,2014-09-16,Siguiri,
3544,Total contacts registered from start date,2014-09-16,Siguiri,141
3545,Number of contacts to follow today,2014-09-16,Siguiri,0
3546,Number of contacts followed today,2014-09-16,Siguiri,0
3547,Number of contacts out of the track 21 days,2014-09-16,Siguiri,141
3548,Number of contacts lost to follow up,2014-09-16,Siguiri,0
3549,Number of samples collected today,2014-09-16,Siguiri,
3550,Number of samples under test,2014-09-16,Siguiri,
3551,Total samples tested,2014-09-16,Siguiri,
3712,New cases of suspects,2014-09-16,Telimele,
3713,New cases of probables,2014-09-16,Telimele,
3714,New cases of confirmed,2014-09-16,Telimele,
3715,Total new cases registered so far,2014-09-16,Telimele,0
3716,Total cases of suspects,2014-09-16,Telimele,0
3717,Total cases of probables,2014-09-16,Telimele,3
3718,Total cases of confirmed,2014-09-16,Telimele,23
3719,Cumulative (confirmed + probable + suspects),2014-09-16,Telimele,26
3720,Total suspected non-class cases,2014-09-16,Telimele,18
3721,New deaths registered,2014-09-16,Telimele,
3722,Total deaths of suspects,2014-09-16,Telimele,0
3723,Total deaths of probables,2014-09-16,Telimele,3
3724,Total deaths of confirmed,2014-09-16,Telimele,7
3725,Total deaths (confirmed + probables + suspects),2014-09-16,Telimele,10
3726,Fatality rate for confirmed and probables,2014-09-16,Telimele,38%
3727,New cases of confirmed among health workers,2014-09-16,Telimele,
3728,Total case of confirmed among health workers,2014-09-16,Telimele,2
3729,New deaths registered among health workers,2014-09-16,Telimele,0
3730,Total deaths registered among health workers,2014-09-16,Telimele,1
3731,New admits to CTE so far,2014-09-16,Telimele,
3732,Total number of hospitalized cases in CTE,2014-09-16,Telimele,0
3733,Total number of exits from CTE,2014-09-16,Telimele,0
3734,Total number of admissions to CTE,2014-09-16,Telimele,41
3735,New contacts registered so far,2014-09-16,Telimele,
3736,Total contacts registered from start date,2014-09-16,Telimele,259
3737,Number of contacts to follow today,2014-09-16,Telimele,0
3738,Number of contacts followed today,2014-09-16,Telimele,0
3739,Number of contacts out of the track 21 days,2014-09-16,Telimele,259
3740,Number of contacts lost to follow up,2014-09-16,Telimele,0
3741,Number of samples collected today,2014-09-16,Telimele,
3742,Number of samples under test,2014-09-16,Telimele,
3743,Total samples tested,2014-09-16,Telimele,
3904,New cases of suspects,2014-09-16,Totals,4
3905,New cases of probables,2014-09-16,Totals,0
3906,New cases of confirmed,2014-09-16,Totals,6
3907,Total new cases registered so far,2014-09-16,Totals,10
3908,Total cases of suspects,2014-09-16,Totals,32
3909,Total cases of probables,2014-09-16,Totals,161
3910,Total cases of confirmed,2014-09-16,Totals,771
3911,Cumulative (confirmed + probable + suspects),2014-09-16,Totals,964
3912,Total suspected non-class cases,2014-09-16,Totals,787
3913,New deaths registered,2014-09-16,Totals,3
3914,Total deaths of suspects,2014-09-16,Totals,5
3915,Total deaths of probables,2014-09-16,Totals,161
3916,Total deaths of confirmed,2014-09-16,Totals,442
3917,Total deaths (confirmed + probables + suspects),2014-09-16,Totals,608
3918,Fatality rate for confirmed and probables,2014-09-16,Totals,63%
3919,New cases of confirmed among health workers,2014-09-16,Totals,0
3920,Total case of confirmed among health workers,2014-09-16,Totals,61
3921,New deaths registered among health workers,2014-09-16,Totals,0
3922,Total deaths registered among health workers,2014-09-16,Totals,30
3923,New admits to CTE so far,2014-09-16,Totals,3
3924,Total number of hospitalized cases in CTE,2014-09-16,Totals,66
3925,Total number of exits from CTE,2014-09-16,Totals,24
3926,Total number of admissions to CTE,2014-09-16,Totals,1348
3927,New contacts registered so far,2014-09-16,Totals,53
3928,Total contacts registered from start date,2014-09-16,Totals,10082
3929,Number of contacts to follow today,2014-09-16,Totals,2433
3930,Number of contacts followed today,2014-09-16,Totals,2372
3931,Number of contacts out of the track 21 days,2014-09-16,Totals,7642
3932,Number of contacts lost to follow up,2014-09-16,Totals,7
3933,Number of samples collected today,2014-09-16,Totals,25
3934,Number of samples under test,2014-09-16,Totals,0
3935,Total samples tested,2014-09-16,Totals,2489
4096,New cases of suspects,2014-09-16,Yomou,
4097,New cases of probables,2014-09-16,Yomou,
4098,New cases of confirmed,2014-09-16,Yomou,
4099,Total new cases registered so far,2014-09-16,Yomou,0
4100,Total cases of suspects,2014-09-16,Yomou,0
4101,Total cases of probables,2014-09-16,Yomou,0
4102,Total cases of confirmed,2014-09-16,Yomou,11
4103,Cumulative (confirmed + probable + suspects),2014-09-16,Yomou,11
4104,Total suspected non-class cases,2014-09-16,Yomou,4
4105,New deaths registered,2014-09-16,Yomou,
4106,Total deaths of suspects,2014-09-16,Yomou,0
4107,Total deaths of probables,2014-09-16,Yomou,0
4108,Total deaths of confirmed,2014-09-16,Yomou,5
4109,Total deaths (confirmed + probables + suspects),2014-09-16,Yomou,5
4110,Fatality rate for confirmed and probables,2014-09-16,Yomou,45%
4111,New cases of confirmed among health workers,2014-09-16,Yomou,
4112,Total case of confirmed among health workers,2014-09-16,Yomou,1
4113,New deaths registered among health workers,2014-09-16,Yomou,0
4114,Total deaths registered among health workers,2014-09-16,Yomou,1
4115,New admits to CTE so far,2014-09-16,Yomou,
4116,Total number of hospitalized cases in CTE,2014-09-16,Yomou,0
4117,Total number of exits from CTE,2014-09-16,Yomou,0
4118,Total number of admissions to CTE,2014-09-16,Yomou,0
4119,New contacts registered so far,2014-09-16,Yomou,
4120,Total contacts registered from start date,2014-09-16,Yomou,56
4121,Number of contacts to follow today,2014-09-16,Yomou,35
4122,Number of contacts followed today,2014-09-16,Yomou,30
4123,Number of contacts out of the track 21 days,2014-09-16,Yomou,21
4124,Number of contacts lost to follow up,2014-09-16,Yomou,0
4125,Number of samples collected today,2014-09-16,Yomou,
4126,Number of samples under test,2014-09-16,Yomou,
4127,Total samples tested,2014-09-16,Yomou,
0,New cases of suspects,2014-10-01,Beyla,
1,New cases of probables,2014-10-01,Beyla,
2,New cases of confirmed,2014-10-01,Beyla,
3,Total new cases registered so far,2014-10-01,Beyla,0
4,Total cases of suspects,2014-10-01,Beyla,0
5,Total cases of probables,2014-10-01,Beyla,0
6,Total cases of confirmed,2014-10-01,Beyla,2
7,Cumulative (confirmed + probable + suspects),2014-10-01,Beyla,2
8,Total suspected non-class cases,2014-10-01,Beyla,0
9,New deaths registered,2014-10-01,Beyla,
10,Total deaths of suspects,2014-10-01,Beyla,0
11,Total deaths of probables,2014-10-01,Beyla,0
12,Total deaths of confirmed,2014-10-01,Beyla,1
13,Total deaths (confirmed + probables + suspects),2014-10-01,Beyla,0
14,Fatality rate for confirmed and probables,2014-10-01,Beyla,100%
15,New cases of confirmed among health workers,2014-10-01,Beyla,
16,Total case of confirmed among health workers,2014-10-01,Beyla,0
17,New deaths registered among health workers,2014-10-01,Beyla,0
18,Total deaths registered among health workers,2014-10-01,Beyla,0
19,New admits to CTE so far,2014-10-01,Beyla,
20,Total number of hospitalized cases in CTE,2014-10-01,Beyla,0
21,Total number of exits from CTE,2014-10-01,Beyla,0
22,Total number of admissions to CTE,2014-10-01,Beyla,0
23,New contacts registered so far,2014-10-01,Beyla,
24,Total contacts registered from start date,2014-10-01,Beyla,2
25,Number of contacts to follow today,2014-10-01,Beyla,929
26,Number of contacts followed today,2014-10-01,Beyla,29
27,Number of contacts out of the track 21 days,2014-10-01,Beyla,0
28,Number of contacts lost to follow up,2014-10-01,Beyla,0
29,Number of samples collected today,2014-10-01,Beyla,
30,Number of samples under test,2014-10-01,Beyla,
31,Total samples tested,2014-10-01,Beyla,
192,New cases of suspects,2014-10-01,Boffa,
193,New cases of probables,2014-10-01,Boffa,
194,New cases of confirmed,2014-10-01,Boffa,
195,Total new cases registered so far,2014-10-01,Boffa,0
196,Total cases of suspects,2014-10-01,Boffa,0
197,Total cases of probables,2014-10-01,Boffa,5
198,Total cases of confirmed,2014-10-01,Boffa,19
199,Cumulative (confirmed + probable + suspects),2014-10-01,Boffa,24
200,Total suspected non-class cases,2014-10-01,Boffa,20
201,New deaths registered,2014-10-01,Boffa,
202,Total deaths of suspects,2014-10-01,Boffa,0
203,Total deaths of probables,2014-10-01,Boffa,5
204,Total deaths of confirmed,2014-10-01,Boffa,11
205,Total deaths (confirmed + probables + suspects),2014-10-01,Boffa,16
206,Fatality rate for confirmed and probables,2014-10-01,Boffa,67%
207,New cases of confirmed among health workers,2014-10-01,Boffa,
208,Total case of confirmed among health workers,2014-10-01,Boffa,0
209,New deaths registered among health workers,2014-10-01,Boffa,0
210,Total deaths registered among health workers,2014-10-01,Boffa,0
211,New admits to CTE so far,2014-10-01,Boffa,
212,Total number of hospitalized cases in CTE,2014-10-01,Boffa,0
213,Total number of exits from CTE,2014-10-01,Boffa,0
214,Total number of admissions to CTE,2014-10-01,Boffa,0
215,New contacts registered so far,2014-10-01,Boffa,
216,Total contacts registered from start date,2014-10-01,Boffa,397
217,Number of contacts to follow today,2014-10-01,Boffa,0
218,Number of contacts followed today,2014-10-01,Boffa,0
219,Number of contacts out of the track 21 days,2014-10-01,Boffa,397
220,Number of contacts lost to follow up,2014-10-01,Boffa,0
221,Number of samples collected today,2014-10-01,Boffa,
222,Number of samples under test,2014-10-01,Boffa,
223,Total samples tested,2014-10-01,Boffa,
384,New cases of suspects,2014-10-01,Conakry,15
385,New cases of probables,2014-10-01,Conakry,
386,New cases of confirmed,2014-10-01,Conakry,2
387,Total new cases registered so far,2014-10-01,Conakry,17
388,Total cases of suspects,2014-10-01,Conakry,19
389,Total cases of probables,2014-10-01,Conakry,10
390,Total cases of confirmed,2014-10-01,Conakry,170
391,Cumulative (confirmed + probable + suspects),2014-10-01,Conakry,199
392,Total suspected non-class cases,2014-10-01,Conakry,355
393,New deaths registered,2014-10-01,Conakry,
394,Total deaths of suspects,2014-10-01,Conakry,0
395,Total deaths of probables,2014-10-01,Conakry,10
396,Total deaths of confirmed,2014-10-01,Conakry,68
397,Total deaths (confirmed + probables + suspects),2014-10-01,Conakry,78
398,Fatality rate for confirmed and probables,2014-10-01,Conakry,39%
399,New cases of confirmed among health workers,2014-10-01,Conakry,2
