Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
Total probable cases,9/3/2014,32,,0,12,41,,309,0,886,50,0,3,345,,5,0,89
Total confirmed cases,9/3/2014,31,,0,13,24,,225,0,608,41,1,0,238,,4,1,30
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/3/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/3/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
Specimens collected,9/4/2014,0,,0,0,0,,0,0,6,6,0,0,0,,0,0,0
Specimens pending for testing,9/4/2014,3,,0,0,3,,0,0,20,6,0,1,7,,0,0,0
Total specimens tested,9/4/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Newly reported deaths,9/4/2014,1,,0,0,0,,22,0,36,2,0,0,7,,1,0,3
Total death/s in confirmed cases,9/4/2014,19,,0,13,11,,193,0,444,28,0,0,151,,4,0,25
Total death/s in probable cases,9/4/2014,16,,0,3,13,,134,0,406,37,0,0,149,,3,1,50
Total death/s in suspected cases,9/4/2014,0,,2,3,19,,146,0,264,12,0,5,34,,4,0,39
"Total death/s in confirmed, probable, suspected cases",9/4/2014,35,,2,19,43,,473,0,1114,77,0,5,334,,11,1,114
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/4/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/4/2014,6,,0,0,0,,101,0,136,0,0,0,0,,0,0,29
Total contacts listed,9/4/2014,146,,0,61,493,,3290,0,6168,382,0,9,760,,41,6,980
Currently under follow-up,9/4/2014,51,,0,61,311,,1670,0,3412,198,0,9,178,,41,4,889
Contacts seen,9/4/2014,51,,0,0,0,,1599,0,2956,198,0,0,178,,41,0,889
Contacts who completed 21 day follow-up,9/4/2014,0,,0,0,0,,90,0,154,0,0,0,8,,0,0,56
Contacts lost to follow-up,9/4/2014,0,,0,0,0,,12,0,12,0,0,0,0,,0,0,0
New admissions,9/4/2014,0,,0,0,0,,12,0,24,0,0,0,12,,0,0,0
Total no. currently in Treatment Units,9/4/2014,0,,0,0,0,,205,0,274,0,0,0,69,,0,0,0
Total discharges,9/4/2014,0,,0,0,0,,6,0,8,0,0,0,2,,0,0,0
Cumulative admission/isolation,9/4/2014,0,,0,0,0,,205,0,274,0,0,0,69,,0,0,0
Newly Reported Cases in HCW,9/4/2014,0,,0,0,0,,3,0,3,0,0,0,0,,0,0,0
Cumulative cases among HCW,9/4/2014,5,,0,3,26,,64,0,156,3,0,0,20,,3,0,32
Newly Reported deaths in HCW,9/4/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/4/2014,4,,0,1,5,,30,0,76,0,0,0,17,,0,0,19
New Case/s (Suspected),9/4/2014,0,,0,0,0,,5,0,14,4,0,0,0,,1,0,4
New Case/s (Probable),9/4/2014,2,,0,0,0,,5,0,26,2,0,0,12,,0,0,5
New case/s (confirmed),9/4/2014,0,,0,0,0,,1,0,12,0,0,0,11,,0,0,0
Total suspected cases,9/4/2014,1,,3,21,85,,55,1,383,24,1,6,53,,3,0,130
Total probable cases,9/4/2014,34,,0,12,41,,314,0,912,52,0,3,357,,5,0,94
Total confirmed cases,9/4/2014,31,,0,13,24,,226,0,620,41,1,0,249,,4,1,30
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/4/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/4/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
Specimens collected,9/5/2014,0,,0,0,0,,1,0,7,0,,0,0,,0,0,0
Specimens pending for testing,9/5/2014,3,,7,0,0,,0,0,7,1,,0,0,,0,0,0
Total specimens tested,9/5/2014,0,,0,0,0,,0,0,0,0,,0,0,,0,0,0
Newly reported deaths,9/5/2014,1,,0,0,1,,30,0,51,5,0,0,7,,0,0,7
Total death/s in confirmed cases,9/5/2014,27,,0,13,11,,215,0,480,30,0,0,155,,4,0,25
Total death/s in probable cases,9/5/2014,14,,0,3,13,,134,0,412,40,0,0,151,,3,1,53
Total death/s in suspected cases,9/5/2014,0,,2,3,20,,154,0,277,12,0,5,35,,4,0,42
"Total death/s in confirmed, probable, suspected cases",9/5/2014,41,,2,19,44,,503,0,1169,82,0,5,341,,11,1,120
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/5/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/5/2014,0,,0,0,11,,75,0,139,0,0,0,6,,0,0,47
Total contacts listed,9/5/2014,146,,0,61,504,,3392,0,5834,382,0,9,266,,41,6,1027
Currently under follow-up,9/5/2014,90,,0,61,322,,1707,0,3488,198,0,9,176,,41,4,880
Contacts seen,9/5/2014,90,,0,0,322,,1660,0,3367,198,0,0,176,,41,0,880
Contacts who completed 21 day follow-up,9/5/2014,54,,0,0,58,,37,0,149,0,0,0,0,,0,0,0
Contacts lost to follow-up,9/5/2014,2,,0,0,0,,0,0,2,0,0,0,0,,0,0,0
New admissions,9/5/2014,0,,0,0,0,,32,0,40,0,0,0,8,,0,0,0
Total no. currently in Treatment Units,9/5/2014,0,,0,0,0,,208,0,270,0,0,0,62,,0,0,0
Total discharges,9/5/2014,0,,0,0,0,,11,0,21,0,0,0,10,,0,0,0
Cumulative admission/isolation,9/5/2014,0,,0,0,0,,208,0,270,0,0,0,62,,0,0,0
Newly Reported Cases in HCW,9/5/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
Cumulative cases among HCW,9/5/2014,5,,0,3,26,,65,0,157,3,0,0,20,,3,0,32
Newly Reported deaths in HCW,9/5/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/5/2014,5,,0,1,5,,31,0,78,0,0,0,17,,0,0,19
New Case/s (Suspected),9/5/2014,0,,0,0,2,,11,0,18,0,0,0,0,,0,0,5
New Case/s (Probable),9/5/2014,2,,0,0,0,,6,0,36,4,0,0,8,,0,0,16
New case/s (confirmed),9/5/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Total suspected cases,9/5/2014,4,,3,21,87,,66,1,404,24,1,6,53,,3,0,135
Total probable cases,9/5/2014,30,,0,12,41,,320,0,942,56,0,3,365,,5,0,110
Total confirmed cases,9/5/2014,33,,0,13,24,,226,0,622,41,1,0,249,,4,1,30
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/5/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/5/2014,3,,0,0,0,,1,0,4,0,0,0,0,,0,0,0
Specimens collected,9/6/2014,0,,0,0,0,,0,0,39,0,0,0,13,,0,0,26
Specimens pending for testing,9/6/2014,7,,0,0,0,,0,0,41,0,0,1,13,,0,0,20
Total specimens tested,9/6/2014,0,,0,0,0,,0,0,20,0,0,0,14,,0,0,6
Newly reported deaths,9/6/2014,0,,0,0,2,,19,0,44,0,0,0,7,,1,0,15
Total death/s in confirmed cases,9/6/2014,27,,0,13,11,,229,0,502,30,0,0,159,,4,0,29
Total death/s in probable cases,9/6/2014,14,,0,3,13,,134,0,418,40,0,0,154,,3,1,56
Total death/s in suspected cases,9/6/2014,0,,2,3,22,,159,0,293,12,0,5,35,,5,0,50
"Total death/s in confirmed, probable, suspected cases",9/6/2014,41,,2,19,46,,522,0,1213,82,0,5,348,,12,1,135
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/6/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/6/2014,0,,0,0,10,,132,0,202,0,0,0,6,,0,0,54
Total contacts listed,9/6/2014,146,,0,61,514,,3526,0,6038,382,0,9,272,,41,6,1081
Currently under follow-up,9/6/2014,36,,0,61,274,,1757,0,3496,198,0,9,182,,41,4,934
Contacts seen,9/6/2014,36,,0,0,274,,1702,0,3367,198,0,0,182,,41,0,934
Contacts who completed 21 day follow-up,9/6/2014,0,,0,0,0,,104,0,195,0,0,0,80,,0,0,11
Contacts lost to follow-up,9/6/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
New admissions,9/6/2014,0,,0,0,0,,40,0,44,0,0,0,4,,0,0,0
Total no. currently in Treatment Units,9/6/2014,0,,0,0,0,,216,0,274,0,0,0,58,,0,0,0
Total discharges,9/6/2014,0,,0,0,0,,28,0,32,0,0,0,4,,0,0,0
Cumulative admission/isolation,9/6/2014,0,,0,0,0,,216,0,274,0,0,0,58,,0,0,0
Newly Reported Cases in HCW,9/6/2014,0,,0,0,0,,3,0,3,0,0,0,0,,0,0,0
Cumulative cases among HCW,9/6/2014,5,,0,3,26,,68,0,160,3,0,0,20,,3,0,32
Newly Reported deaths in HCW,9/6/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/6/2014,5,,0,1,5,,31,0,78,0,0,0,17,,0,0,19
New Case/s (Suspected),9/6/2014,0,,0,0,1,,13,0,39,0,0,0,0,,1,0,24
New Case/s (Probable),9/6/2014,0,,0,0,0,,7,0,25,0,0,0,4,,0,0,14
New case/s (confirmed),9/6/2014,0,,0,0,4,,0,0,6,0,0,0,2,,0,0,0
Total suspected cases,9/6/2014,4,,3,21,88,,79,1,443,24,1,6,53,,4,0,159
Total probable cases,9/6/2014,30,,0,12,41,,327,0,967,56,0,3,369,,5,0,124
Total confirmed cases,9/6/2014,33,,0,13,28,,226,0,628,41,1,0,251,,4,1,30
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/6/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/6/2014,3,,0,0,0,,1,0,4,0,0,0,0,,0,0,0
Specimens collected,9/7/2014,7,,0,0,0,,0,0,7,0,0,0,0,,0,0,0
Specimens pending for testing,9/7/2014,7,,0,0,0,,0,0,7,0,0,0,0,,0,0,0
Total specimens tested,9/7/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Newly reported deaths,9/7/2014,4,,0,0,0,,6,0,22,3,0,0,3,,0,0,6
Total death/s in confirmed cases,9/7/2014,27,,0,13,11,,232,0,509,31,0,0,162,,4,0,29
Total death/s in probable cases,9/7/2014,18,,0,3,13,,134,0,427,42,0,0,154,,3,1,59
Total death/s in suspected cases,9/7/2014,0,,2,3,22,,162,0,299,12,0,5,35,,5,0,53
"Total death/s in confirmed, probable, suspected cases",9/7/2014,45,,2,19,46,,528,0,1235,85,0,5,351,,12,1,141
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/7/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/7/2014,6,,0,0,0,,0,0,113,48,0,0,59,,0,0,0
Total contacts listed,9/7/2014,146,,0,61,514,,3526,0,6145,430,0,9,331,,41,6,1081
Currently under follow-up,9/7/2014,42,,0,61,274,,1759,0,3520,246,0,9,161,,41,4,923
Contacts seen,9/7/2014,42,,0,0,274,,1708,0,3395,246,0,0,161,,41,0,923
Contacts who completed 21 day follow-up,9/7/2014,0,,0,0,0,,13,0,18,0,0,0,5,,0,0,0
Contacts lost to follow-up,9/7/2014,2,,0,0,0,,0,0,2,0,0,0,0,,0,0,0
New admissions,9/7/2014,0,,0,0,0,,5,0,10,0,,0,5,,0,0,0
Total no. currently in Treatment Units,9/7/2014,0,,0,0,0,,162,0,213,0,0,0,51,,0,0,0
Total discharges,9/7/2014,0,,0,0,0,,0,0,9,0,,0,9,,0,0,0
Cumulative admission/isolation,9/7/2014,0,,0,0,0,,162,0,213,0,0,0,51,,0,0,0
Newly Reported Cases in HCW,9/7/2014,0,,0,0,0,,1,0,3,0,0,0,0,,0,0,2
Cumulative cases among HCW,9/7/2014,5,,0,3,26,,69,0,163,3,0,0,20,,3,0,34
Newly Reported deaths in HCW,9/7/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/7/2014,5,,0,1,5,,31,0,78,0,0,0,17,,0,0,19
New Case/s (Suspected),9/7/2014,0,,0,0,0,,5,0,6,0,0,0,0,,0,0,1
New Case/s (Probable),9/7/2014,4,,0,0,0,,0,0,9,2,0,0,0,,0,0,3
New case/s (confirmed),9/7/2014,0,,0,0,8,,0,0,20,6,0,0,3,,0,0,3
Total suspected cases,9/7/2014,4,,3,21,88,,84,1,449,24,1,6,53,,4,0,160
Total probable cases,9/7/2014,34,,0,12,41,,327,0,976,58,0,3,369,,5,0,127
Total confirmed cases,9/7/2014,33,,0,13,36,,226,0,648,47,1,0,254,,4,1,33
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/7/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/7/2014,3,,0,0,0,,1,0,4,0,0,0,0,,0,0,0
Specimens collected,9/8/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/8/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/8/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/8/2014,2,,0,0,0,,31,0,47,1,0,0,7,0,0,0,6
Total death/s in confirmed cases,9/8/2014,27,,0,13,11,,249,0,530,31,0,0,165,0,4,0,30
Total death/s in probable cases,9/8/2014,20,,0,3,13,,134,0,443,43,0,0,158,4,3,1,64
Total death/s in suspected cases,9/8/2014,0,,2,3,22,,101,0,239,12,0,5,35,0,5,0,54
"Total death/s in confirmed, probable, suspected cases",9/8/2014,47,,2,19,46,,484,0,1212,86,0,5,358,4,12,1,148
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/8/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/8/2014,60,,0,0,0,,230,0,435,52,0,0,6,0,0,0,87
Total contacts listed,9/8/2014,206,,0,61,514,,3791,0,6621,482,0,9,337,6,41,6,1168
Currently under follow-up,9/8/2014,102,,0,61,274,,1882,0,3849,298,0,9,162,6,41,4,1010
Contacts seen,9/8/2014,102,,0,0,274,,1767,0,3660,298,0,0,162,6,41,0,1010
Contacts who completed 21 day follow-up,9/8/2014,0,,0,0,0,,123,0,149,0,0,0,26,0,0,0,0
Contacts lost to follow-up,9/8/2014,2,,0,0,0,,0,0,2,0,0,0,0,0,0,0,0
New admissions,9/8/2014,0,,0,0,0,,25,0,26,0,0,0,1,0,0,0,0
Total no. currently in Treatment Units,9/8/2014,0,,0,0,0,,232,0,279,0,0,0,47,0,0,0,0
Total discharges,9/8/2014,0,,0,0,0,,9,0,11,0,0,0,2,0,0,0,0
Cumulative admission/isolation,9/8/2014,0,,0,0,0,,232,0,279,0,0,0,47,0,0,0,0
Newly Reported Cases in HCW,9/8/2014,0,,0,0,0,,0,0,1,0,,0,0,0,0,0,1
Cumulative cases among HCW,9/8/2014,5,,0,3,26,,69,0,164,3,,0,20,0,3,0,35
Newly Reported deaths in HCW,9/8/2014,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Cumulative deaths among HCW,9/8/2014,5,,0,1,5,,31,0,78,0,,0,17,0,0,0,19
New Case/s (Suspected),9/8/2014,0,,0,0,0,,24,0,29,0,0,0,0,0,1,0,4
New Case/s (Probable),9/8/2014,3,,0,0,0,,6,0,24,0,0,0,1,0,0,0,14
New case/s (confirmed),9/8/2014,0,,0,0,8,,0,0,12,0,0,0,4,0,0,0,0
Total suspected cases,9/8/2014,4,,3,21,88,,108,1,479,24,1,6,53,1,5,0,164
Total probable cases,9/8/2014,37,,0,12,41,,333,0,1005,58,0,3,370,5,5,0,141
Total confirmed cases,9/8/2014,33,,0,13,44,,266,0,700,47,1,0,258,0,4,1,33
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/8/2014,0,,0,0,0,,0,0,13,0,0,0,11,0,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/8/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/10/2014,5,,0,0,0,,0,0,5,0,0,0,0,0,0,0,0
Specimens pending for testing,9/10/2014,5,,0,0,0,,0,0,24,5,0,0,0,0,0,0,14
Total specimens tested,9/10/2014,0,,0,0,0,,0,0,32,0,0,0,21,0,11,0,0
Newly reported deaths,9/10/2014,2,,0,0,1,,22,0,46,3,0,0,5,0,1,0,12
Total death/s in confirmed cases,9/10/2014,27,,0,13,12,,271,0,563,32,1,0,167,0,6,0,34
Total death/s in probable cases,9/10/2014,22,,0,3,14,,141,0,472,46,0,0,166,4,3,1,72
Total death/s in suspected cases,9/10/2014,0,,2,3,23,,120,0,261,12,0,5,35,0,5,0,56
"Total death/s in confirmed, probable, suspected cases",9/10/2014,49,,2,19,49,,532,0,1296,90,1,5,368,4,14,1,162
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/10/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/10/2014,60,,0,0,10,,38,0,191,5,0,0,27,0,0,0,51
Total contacts listed,9/10/2014,272,,0,61,524,,3998,0,7081,487,16,9,391,6,69,6,1242
Currently under follow-up,9/10/2014,164,,0,61,284,,1601,0,3583,303,16,9,129,6,69,4,937
Contacts seen,9/10/2014,164,,0,0,190,,1572,0,3527,303,16,0,129,0,69,0,1084
Contacts who completed 21 day follow-up,9/10/2014,0,,0,0,85,,21,0,321,18,16,0,34,0,0,0,147
Contacts lost to follow-up,9/10/2014,0,,0,0,3,,0,0,3,0,0,0,0,0,0,0,0
New admissions,9/10/2014,0,,0,0,0,,0,0,5,0,0,0,5,0,0,0,0
Total no. currently in Treatment Units,9/10/2014,0,,0,0,0,,0,0,49,0,0,0,49,0,0,0,0
Total discharges,9/10/2014,0,,0,0,0,,0,0,2,0,0,0,2,0,0,0,0
Cumulative admission/isolation,9/10/2014,0,,0,0,0,,0,0,49,0,0,0,49,0,0,0,0
Newly Reported Cases in HCW,9/10/2014,0,,0,0,0,,1,0,1,0,0,0,0,0,0,0,0
Cumulative cases among HCW,9/10/2014,5,,0,3,26,,70,0,169,6,0,0,20,0,3,0,36
Newly Reported deaths in HCW,9/10/2014,0,,0,0,0,,1,0,3,2,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/10/2014,5,,0,1,6,,32,0,82,2,0,0,17,0,0,0,19
New Case/s (Suspected),9/10/2014,0,,0,0,1,,18,0,29,0,1,0,0,0,0,0,9
New Case/s (Probable),9/10/2014,3,,0,0,0,,10,0,28,0,0,0,5,0,0,0,10
New case/s (confirmed),9/10/2014,0,,0,0,0,,0,0,2,0,0,0,1,0,1,0,0
Total suspected cases,9/10/2014,4,,3,21,93,,144,1,539,26,2,6,53,1,5,0,180
Total probable cases,9/10/2014,40,,0,12,42,,353,0,1078,61,0,3,379,5,5,0,178
Total confirmed cases,9/10/2014,33,,0,13,44,,352,0,790,47,1,0,260,0,6,1,33
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/10/2014,0,,0,0,0,,0,0,14,0,0,0,11,0,2,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/10/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/11/2014,5,,0,0,0,,0,0,16,0,0,0,11,0,0,0,0
Specimens pending for testing,9/11/2014,5,,0,0,0,,0,0,16,0,0,0,11,0,0,0,0
Total specimens tested,9/11/2014,0,,0,0,0,,0,0,7,0,0,0,7,0,0,0,0
Newly reported deaths,9/11/2014,2,,0,0,7,,32,0,53,1,0,0,3,0,0,0,8
Total death/s in confirmed cases,9/11/2014,27,,0,13,12,,290,0,584,32,1,0,169,0,6,0,34
Total death/s in probable cases,9/11/2014,24,,0,3,14,,144,0,484,47,0,0,166,4,3,1,78
Total death/s in suspected cases,9/11/2014,0,,2,3,30,,130,0,281,12,0,5,36,0,5,0,58
"Total death/s in confirmed, probable, suspected cases",9/11/2014,51,,2,19,56,,564,0,1349,91,1,5,371,4,14,1,170
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/11/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/11/2014,60,,0,0,10,,236,0,419,57,0,0,0,0,11,0,45
Total contacts listed,9/11/2014,332,,0,61,534,,4234,0,7500,544,16,9,391,6,80,6,1287
Currently under follow-up,9/11/2014,224,,0,61,209,,1816,0,3844,342,16,9,95,6,80,4,982
Contacts seen,9/11/2014,224,,0,0,190,,1816,0,3745,342,16,0,95,0,80,0,982
Contacts who completed 21 day follow-up,9/11/2014,54,,0,0,0,,26,0,120,0,16,0,24,0,0,0,0
Contacts lost to follow-up,9/11/2014,2,,0,0,0,,1,0,3,0,0,0,0,0,0,0,0
New admissions,9/11/2014,0,,0,0,0,,52,0,59,0,0,0,7,0,0,0,0
Total no. currently in Treatment Units,9/11/2014,0,,0,0,0,,200,0,230,0,0,0,30,0,0,0,0
Total discharges,9/11/2014,0,,0,0,0,,18,0,25,0,0,0,7,0,0,0,0
Cumulative admission/isolation,9/11/2014,0,,0,0,0,,200,0,230,0,0,0,30,0,0,0,0
Newly Reported Cases in HCW,9/11/2014,0,,0,0,0,,0,0,1,0,0,0,0,0,0,0,1
Cumulative cases among HCW,9/11/2014,5,,0,3,26,,70,0,170,6,0,0,20,0,3,0,37
Newly Reported deaths in HCW,9/11/2014,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/11/2014,5,,0,1,6,,32,0,80,0,0,0,17,0,0,0,19
New Case/s (Suspected),9/11/2014,1,,0,0,11,,32,0,53,1,0,0,0,0,0,0,8
New Case/s (Probable),9/11/2014,3,,0,0,4,,36,0,67,6,0,0,7,0,0,0,11
New case/s (confirmed),9/11/2014,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Total suspected cases,9/11/2014,5,,3,21,104,,176,1,592,27,2,6,53,1,5,0,188
Total probable cases,9/11/2014,43,,0,12,46,,389,0,1145,67,0,3,386,5,5,0,189
Total confirmed cases,9/11/2014,33,,0,13,44,,352,0,790,47,1,0,260,0,6,1,33
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/11/2014,0,,0,0,0,,0,0,14,0,0,0,11,0,2,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/11/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/12/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/12/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/12/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/12/2014,1,,0,0,0,,40,0,53,0,0,0,2,0,0,0,10
Total death/s in confirmed cases,9/12/2014,27,,0,13,12,,309,0,604,32,1,0,170,0,6,0,34
Total death/s in probable cases,9/12/2014,25,,0,3,14,,148,0,500,47,0,0,167,4,3,1,88
Total death/s in suspected cases,9/12/2014,0,,2,3,30,,147,0,298,12,0,5,36,0,5,0,58
"Total death/s in confirmed, probable, suspected cases",9/12/2014,52,,2,19,56,,604,0,1402,91,1,5,373,4,14,1,180
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/12/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/12/2014,18,,0,0,16,,368,0,455,0,0,0,18,0,0,0,35
Total contacts listed,9/12/2014,350,,0,61,614,,4602,0,8027,544,16,17,409,6,80,6,1322
Currently under follow-up,9/12/2014,170,,0,61,209,,2180,0,4307,342,0,3,270,6,80,4,982
Contacts seen,9/12/2014,72,,0,0,0,,2151,0,3580,0,0,3,289,6,77,0,982
Contacts who completed 21 day follow-up,9/12/2014,54,,0,0,9,,55,0,166,0,16,14,18,0,0,0,0
Contacts lost to follow-up,9/12/2014,2,,0,0,3,,0,0,5,0,0,0,0,0,0,0,0
New admissions,9/12/2014,1,,0,0,0,,33,0,36,0,0,0,2,0,0,0,0
Total no. currently in Treatment Units,9/12/2014,0,,0,0,0,,216,0,237,0,0,0,21,0,0,0,0
Total discharges,9/12/2014,0,,0,0,0,,6,0,14,0,0,0,8,0,0,0,0
Cumulative admission/isolation,9/12/2014,0,,0,0,0,,216,0,237,0,0,0,21,0,0,0,0
Newly Reported Cases in HCW,9/12/2014,0,,0,0,0,,2,0,3,0,0,0,0,0,0,0,1
Cumulative cases among HCW,9/12/2014,5,,0,3,26,,70,0,170,6,0,0,20,0,3,0,37
Newly Reported deaths in HCW,9/12/2014,0,,0,0,0,,2,0,2,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/12/2014,5,,0,1,6,,32,0,80,0,0,0,17,0,0,0,19
New Case/s (Suspected),9/12/2014,1,,0,0,3,,28,0,38,0,0,0,0,2,1,0,3
New Case/s (Probable),9/12/2014,0,,0,0,1,,21,0,37,0,0,0,2,4,0,0,9
New case/s (confirmed),9/12/2014,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Total suspected cases,9/12/2014,6,,3,21,107,,204,1,630,27,2,6,53,3,6,0,191
Total probable cases,9/12/2014,43,,0,12,47,,410,0,1182,67,0,3,388,9,5,0,198
Total confirmed cases,9/12/2014,33,,0,13,44,,352,0,790,47,1,0,260,0,6,1,33
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/12/2014,0,,0,0,0,,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/12/2014,3,,0,0,0,,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/13/2014,0,,0,0,0,,0,0,12,8,0,0,4,0,0,0,0
Specimens pending for testing,9/13/2014,0,,0,0,0,,0,0,16,12,0,0,4,0,0,0,0
Total specimens tested,9/13/2014,0,,0,0,0,,0,0,15,0,0,0,15,0,0,0,0
Newly reported deaths,9/13/2014,1,,0,0,0,,4,0,11,1,0,0,1,0,0,0,4
Total death/s in confirmed cases,9/13/2014,27,,0,13,12,,309,0,604,32,1,0,170,0,6,0,34
Total death/s in probable cases,9/13/2014,26,,0,3,14,,151,0,508,48,0,0,168,4,3,1,90
Total death/s in suspected cases,9/13/2014,0,,2,3,30,,148,0,301,12,0,5,36,0,5,0,60
"Total death/s in confirmed, probable, suspected cases",9/13/2014,53,,2,19,56,,608,0,1413,92,1,5,374,4,14,1,184
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/13/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/13/2014,60,,0,0,6,,58,0,169,0,0,0,23,0,0,0,22
Total contacts listed,9/13/2014,410,,0,61,620,,4660,0,8196,544,16,17,432,6,80,6,1344
Currently under follow-up,9/13/2014,158,,0,61,209,,2242,0,4414,361,0,3,308,6,80,4,982
Contacts seen,9/13/2014,156,,0,0,0,,2220,0,4113,361,0,3,308,6,77,0,982
Contacts who completed 21 day follow-up,9/13/2014,54,,0,0,9,,171,0,608,228,16,14,17,0,0,0,99
Contacts lost to follow-up,9/13/2014,2,,0,0,3,,7,0,12,0,0,0,0,0,0,0,0
New admissions,9/13/2014,1,,0,0,0,,0,0,15,0,0,0,8,0,0,0,6
Total no. currently in Treatment Units,9/13/2014,0,,0,0,0,,0,0,24,0,0,0,24,0,0,0,0
Total discharges,9/13/2014,0,,0,0,0,,0,0,4,0,0,0,4,0,0,0,0
Cumulative admission/isolation,9/13/2014,0,,0,0,0,,0,0,24,0,0,0,24,0,0,0,0
Newly Reported Cases in HCW,9/13/2014,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,9/13/2014,5,,0,3,26,,70,0,170,6,0,0,20,0,3,0,37
Newly Reported deaths in HCW,9/13/2014,0,,0,0,0,,0,0,2,2,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/13/2014,5,,0,1,6,,32,0,82,2,0,0,17,0,0,0,19
New Case/s (Suspected),9/13/2014,1,,0,0,0,,14,0,24,0,0,0,0,0,0,0,9
New Case/s (Probable),9/13/2014,0,,0,0,0,,3,0,32,8,0,0,8,0,0,0,13
